%missing,AUC,Accuracy,F1-score,classifier,w_unlabelled
0.1,0.93256081402,0.9325,0.93300248139,mlp,0.4
0.1,0.930023250581,0.93,0.93,hardb_mlp,0.4
0.1,0.875346883672,0.875,0.882629107981,clsdep_mlp,0.4
0.1,0.849946248656,0.85,0.847715736041,mlp,0.5
0.1,0.954948873722,0.955,0.954314720812,hardb_mlp,0.5
0.1,0.867284182105,0.8675,0.860892388451,clsdep_mlp,0.5
0.1,0.955023875597,0.955,0.955,mlp,0.6
0.1,0.872459311483,0.8725,0.870886075949,hardb_mlp,0.6
0.1,0.947586189655,0.9475,0.948148148148,clsdep_mlp,0.6
0.1,0.872459311483,0.8725,0.870886075949,mlp,0.7
0.1,0.905022625566,0.905,0.905,hardb_mlp,0.7
0.1,0.957511437786,0.9575,0.957393483709,clsdep_mlp,0.7
0.1,0.872459311483,0.8725,0.870886075949,mlp,0.8
0.1,0.954998874972,0.955,0.954773869347,hardb_mlp,0.8
0.1,0.872459311483,0.8725,0.870886075949,clsdep_mlp,0.8
0.1,0.847258681467,0.8475,0.839050131926,mlp,0.9
0.1,0.957536438411,0.9575,0.957605985037,hardb_mlp,0.9
0.1,0.95997399935,0.96,0.959595959596,clsdep_mlp,0.9
0.1,0.94751118778,0.9475,0.947368421053,mlp,1.0
0.1,0.945048626216,0.945,0.945273631841,hardb_mlp,1.0
0.1,0.86740918523,0.8675,0.864450127877,clsdep_mlp,1.0
0.9,0.880347008675,0.88,0.887323943662,mlp,0.1
0.9,0.5,0.4975,0.664440734558,hardb_mlp,0.1
0.9,0.830795769894,0.83,0.852813852814,clsdep_mlp,0.1
0.9,0.922660566514,0.9225,0.924574209246,mlp,0.2
0.9,0.5,0.4975,0.664440734558,hardb_mlp,0.2
0.9,0.877834445861,0.8775,0.884705882353,clsdep_mlp,0.2
0.9,0.869646741169,0.87,0.859459459459,mlp,0.3
0.9,0.830795769894,0.83,0.852813852814,hardb_mlp,0.3
0.9,0.837183429586,0.8375,0.825737265416,clsdep_mlp,0.3
0.9,0.834645866147,0.835,0.821621621622,mlp,0.4
0.9,0.830795769894,0.83,0.852813852814,hardb_mlp,0.4
0.9,0.83924598115,0.84,0.810650887574,clsdep_mlp,0.4
0.9,0.763869096727,0.765,0.694805194805,mlp,0.5
