%missing,AUC,Accuracy,F1-score,classifier,weight_u
1.0,0.5,0.515,0.0,mlp,0.5
1.0,0.5,0.515,0.0,bw_mlp,0.5
1.0,0.5,0.515,0.0,wu_mlp,0.5
1.0,0.5,0.515,0.0,hb_mlp,0.5
1.0,0.5,0.515,0.0,eu_mlp,0.5
%missing,AUC,Accuracy,F1-score,classifier,weight_u
0.0,0.9190271244119708,0.92,0.9148936170212766,mlp,0.5
0.0,0.901736562906616,0.9025,0.8970976253298153,bw_mlp,0.5
0.0,0.9250825743168852,0.925,0.923076923076923,wu_mlp,0.5
0.0,0.9622410169152238,0.9625,0.961038961038961,hb_mlp,0.5
0.0,0.9520818736863178,0.9525,0.950391644908616,eu_mlp,0.5
0.1,0.9260084075668101,0.9275,0.9214092140921408,mlp,0.5
0.1,0.9514813331998798,0.9525,0.9493333333333334,bw_mlp,0.5
0.1,0.9546591932739465,0.955,0.953125,wu_mlp,0.5
0.1,0.9493544189770795,0.95,0.9473684210526316,hb_mlp,0.5
0.1,0.9595135622059854,0.96,0.9581151832460733,eu_mlp,0.5
0.2,0.8843208887999199,0.8875,0.8703170028818444,mlp,0.5
0.2,0.8688319487538786,0.87,0.8609625668449198,bw_mlp,0.5
0.2,0.8800420378340508,0.88,0.8769230769230768,wu_mlp,0.5
0.2,0.8819937944149735,0.88,0.8846153846153847,hb_mlp,0.5
0.2,0.860174156741067,0.86,0.8571428571428571,eu_mlp,0.5
0.30000000000000004,0.8209388449604645,0.825,0.7916666666666666,mlp,0.5
0.30000000000000004,0.8797417675908319,0.88,0.8756476683937823,bw_mlp,0.5
0.30000000000000004,0.9645180662596337,0.965,0.963350785340314,wu_mlp,0.5
0.30000000000000004,0.9073416074467021,0.9075,0.9043927648578811,hb_mlp,0.5
0.30000000000000004,0.94692723451106,0.9475,0.9448818897637795,eu_mlp,0.5
0.4,0.8767390651586427,0.88,0.861271676300578,mlp,0.5
0.4,0.8982584325893305,0.9,0.8907103825136613,bw_mlp,0.5
0.4,0.9369182264037633,0.9375,0.9343832020997375,wu_mlp,0.5
